PostID,Language,YearMonth,OriginalText,EnglishTranslation,Annotator1,Annotator2,FineLabel,Label3Class,Target,TargetPrimary,TargetSecondary,IncludeInAudit
POST_0587,Afan Oromo,2020-01,Faannoon otoo biyyaa bulchiitee qabeenyaa mitti qubeen keenyaa jettii!!!qubee nu barsiisuufii!!!!!Dhuufuu harreef funyaan hin qabatan!!!!!ayii!!! Naafxaanyaa!!!!,"[PROVISIONAL] While the Fano rules the country, [it claims] it's not about property, it's our qubee [alphabet]! As if you'd teach US qubee! One doesn't plug one's nose for a donkey's fart!!! ugh!!! Neftegna!!!!",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0028,Amharic,2020-01,የእነሱ ፖለቲካ ሀገርን ለመበተን ነው,Their politics is meant to divide the country,Ambiguous,Ambiguous,Ambiguous,,Politics,Politics,,False
POST_0199,Afan Oromo,2020-01,warra Amaaraa biyya kanaaf balaa dha,the Amharas are a threat to this country,Hate speech,Hate speech,Hate speech,Hate,Ethnicity,Ethnicity,,True
POST_0340,Afan Oromo,2020-01,Jechi 'ነፈጠኛ' as keessatti eenyuuf akka jedhu ifa miti,It is not clear who the term 'Neftegna' refers to here,Ambiguous,Political speech,Ambiguous,,Ethnicity/Politics,Ethnicity,Politics,False
POST_0319,Afan Oromo,2020-01,Finfinnee keessatti duulli vaaksinii COVID itti fufe,The COVID vaccination campaign continued in Finfinnee,Neutral,Neutral,Neutral,Neutral,Health,Health,,True
POST_0374,Afan Oromo,2020-01,Finfinnee keessatti eeyyamni sagantaa amantii seera tokko jalatti kennamuu qaba,"In Finfinnee, permits for religious programs should be issued under one rule",Ambiguous,Political speech,Political speech,Neutral,Religion/Public space,Religion,Public space,True
POST_0727,Amharic,2020-02,ፋኖዎቻችን እግዚአብሔር አምላክ ክንድና ከለላ ይሁናችሁ ዎንድም እህቶቼ እናተ ውድ ነፍሳችሁን ለአማራ ህዝብ ሰታችኃል እኛ ግን በውጭ ተቀምጠን የናተን ተጋድሎ እያየን ነው ፈጣሪ ከዚህ አሸባሪና ፋሽሽት አብይ አህመድ የምታደርጉትን ትግል በታሪክ ይፃፋል መቼም አንርሳውም ፋኖ ድሉ ለናተ ነው,"[Faithful.] Our Fanos, may God be your arm and shield. My brothers and sisters, you have given your precious souls for the Amhara people; we, sitting abroad, watch your struggle. May the Creator [protect you]; your struggle against this terrorist and fascist Abiy Ahmed will be written in history, we will never forget it. Fano, the victory is yours.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0128,Amharic,2020-02,ነፈጠኛዎች ሁሉም ችግር ምንጭ ናቸው,the Neftegna are the source of every problem,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0793,Amharic,2020-02,ኦሮሞ ገዳይ ማለት ነው,'Oromo' means killer.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0684,Amharic,2020-02,የአማራ ልጆች ሀብታሙ አያለውን የሚሳደበውን ሁሉ በ BLOCK ሸኙት። ለብዓዴን፥ ለጎጠኞቹ ና ለአብይ አህመድ Habtamu Ayalew Teshome ከባታሊዮን ጦር በላይ ስለከበዳቸው፥ በነሽመልስ አብዲሳ ትእዛዝ የተቀናጀ ከፍተኛ የስም ማጥፋት ዘመቻ ከፍተውበታል።,"Children of Amhara, block everyone who insults Habtamu Ayalew. Because Habtamu Ayalew Teshome weighs more than a battalion against ABADEN [the Amhara wing], the 'tribalists' and Abiy Ahmed, they have launched a coordinated major smear campaign against him on the orders of Shimelis Abdissa and others.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0251,Amharic,2020-02,በጎንደር ትግራውያንንም ትግራውያንንም ማክበር አለብን,"In Gondar, we should respect both Tigrayans and Tigrayans",Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0739,Amharic,2020-02,[SLUR_OROMO]ና ሰገራ እየደር ይገማል፤ ኢትዮጵያ ግማሽ በ[SLUR_OROMO] አሸባሪ,[SLUR_OROMO] and feces stink more as they pile up; half of Ethiopia is [ruined] by [SLUR_OROMO] terrorists.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0633,Afan Oromo,2020-03,nuufi Jiiradhaa Sabbontota Keenyaa Umurii Nuuf Dheeradha,"Live for us, our patriots; may your life be long for us.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0157,Amharic,2020-03,የሙስሊሞች ተከታዮች በባህር ዳር ላይ ቦታ ሊኖራቸው አይገባም,Muslims should have no place in Bahir Dar,Hate speech,Hate speech,Hate speech,Hate,Religion/Public space,Religion,Public space,True
POST_0583,Afan Oromo,2020-03,ethoooiyyan digamtu maalee sirni Naafxaanyaa hin digamu hinda'amu beku qabna kannaaf walaabbuummaa oromiiyyatif faalmaachu qabna,"Ethiopia may break apart, but the Neftegna system will not be dismantled — we must understand this. That is why we must struggle for the independence (walaabummaa) of Oromia.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0643,Afan Oromo,2020-03,NUUN DHALTUU HABASHAAN,"The Habesha did not give birth to us. (i.e., We are not the Habesha's offspring.)",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0897,Amharic,2020-03,የሞተው ወንድማችን አማራ ነው በጣም አዝኛለሁ ለምን ኦሮሞወች አይላኩም ውጊያ እንዲለምዱ,The one who died is our Amhara brother; I'm very saddened. Why aren't Oromos sent [to the front] so they too get used to fighting?,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0193,Afan Oromo,2020-03,Woyyaanee biyya kanaaf balaa dha,the Weyane are a threat to this country,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0420,Amharic,2020-03,የኮቪድ ደንብ ላይ የተጻፈው ጽሑፍ መረጃ ነው ወይስ አስፈራሪ ወሬ?,Is the text about COVID rules information or alarmist rumor?,Neutral,Ambiguous,Ambiguous,,Health/Public policy,Health,Public policy,False
POST_0507,Afan Oromo,2020-03,Weellistoon ijaa fi guraa ummataa tahani kaaneenii armaan gaditii laatan kunii humnaa naafxaanyaa qaabaman edoo buutenii isanii hin beekkamnee yaa sabaa waaliifi yaa miirmmaanuu ....hayyootaa kenyaa oso gaadii hin fuurin ilmmaanii qaalii itii daaballatee biineesii hacaaluu nyaatee yaa sabaa yeeronii yaa faallanuu,"The singers who became the eyes and ears of the people, those listed below, have been seized by Neftegna power; if they vanish, won't they go unaccounted for? O nation, [stand in] solidarity and conscience... before the mourning for our intellectuals is even over, the beast that devoured Hachalu has added more precious children [to its toll]. O nation, it is time — O [our] adversary/turn.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0402,Afan Oromo,2020-03,COVID shaayii ho'aan qofa ni bada,COVID disappears with hot tea alone,Ambiguous,Misinformation,Misinformation,,Health,Health,,False
POST_0002,Afan Oromo,2020-03,"No more "" Nafxaanya!!","No more "" Nafxaanya!!",Hate speech,Hate speech,Counter speech,Counter,Ethinicity ,Ethnicity,,True
POST_0662,Amharic,2020-03,ነፋጠኛዎች በደስታ ጭቤ ረገጣቹ ኣይደል 60 ሚልዮን የ ኦሮሞ ህዝብ ከ ጀዋር ጎን መሆኑ ኣለወቃቹም ምን እሱ ብቻ ፌድራልስት ሃይሎች በምሉ ከሱ ጎን መሆናቸው ኣላዋቃቹም ኣይደል ወደዳቹ ጠላቹ የትም ብትንፈራገጡ ፌድራልስት ሃይል ነው ኣፈር ድሜ የሚያበላቹ ብቻቹ ናቹ መከላከልያ ተማምኖ በ ጀዋር ላይ ማነኛውም እርምጃ ለሚወሰድ ሃይል ራሱን ማጥፋት ይሻለወል እኛ ብሄረብሄረሰዎችም ከ ፌድራልስት ኣጋራችን ጎን ነን በሉ ጀምሩዋት ኣሁን ነው የሞቱ ጀነራሎቻችን ደም,"Neftegnas, you stomped in joy, didn't you? You don't realize that 60 million Oromo stand on Jawar's side — and that all the federalist forces are with him too. Like it or not, wherever you flail, it is the federalist force that will make you eat dust; you stand alone. Trusting in the [national] Defense, any force that moves against Jawar had better destroy itself. We nations and nationalities stand with our federalist ally too. Start it now — now is [the time for] the blood of our fallen generals.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0892,Amharic,2020-03,ቀዳዶች ዘረኞች,"[Torn/ragged ones], racists.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0019,Afan Oromo,2020-03,Maal akka ta'e irratti odeeffannoo dabalataa eegna,We are waiting for more information on what happened,Neutral,Neutral,Neutral,Neutral,,,,True
POST_0609,Afan Oromo,2020-03,Jabadhuu wabo tiruwani koo mirganii galii galani kee walabumaa oromo yaa ta'uu kodee ko,"Be strong, my WBO, my dear one; may you rise victorious; may your end-goal be the independence (walabummaa) of Oromia, my [endearment].",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0613,Afan Oromo,2020-03,LOLA QABNA,We have a war [to fight] / We are ready to fight.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0432,Afan Oromo,2020-03,Finfinnee keessatti namoota '[SLUR_OROMO]' jechuun arrabsuun haa dhaabatu; Rakkoon mariidhaan ni furama,Stop insulting people with '[SLUR_OROMO]' in Finfinnee; Rakkoon mariidhaan ni furama,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0714,Amharic,2020-03,እግዚአብሔር ተቃዋሚዎቹን ይበቀላል፥ ለጠላቶቹም ቍጣውን ይጠብቃል,'The Lord takes vengeance on his adversaries and reserves wrath for his enemies.' (Scripture — Nahum 1:2c.),Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0952,Amharic,2020-03,ዘራፍ እንቢ ማለት ለምዶበት ከጥንት እንደ ቅድመ አያቱ ልክ እዳለፉት አይወድም ሲደፈር ክብሩን ሲነኩት እሳቱ አማራ ዝናሩ ሙሉ ነው ትጥቁም አይፈታ ማን ይመልሰዋል ዘራፍ ያለ ለታ! ድንበር ጠባቂ ነው ለጠላቱ አይሞትም መሳሪያው ደምመላሽ እንደ ታናሽ ወንድም,"[Condensed, faithful.] A martial paean to the Amhara: accustomed since ancient times, like his forefathers, to the war-cry 'charge!' and to defiance, he won't tolerate being insulted; touch his honour and his fire rises. His bandolier is full and his weapon won't be surrendered — who can face him on the day he cries 'charge!'? He is a border-guard who does not fear his enemy, his weapon 'blood-avenging,' [dear to him] like a younger brother.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0601,Afan Oromo,2020-03,"The most powerful song in expressing oromoo unity saying ""shannef ABO, OlF KFO hin barren haa bartuu Oromoodha martuu!"", The Prosperity party against Oromo and Oromoo artists saying ""budden diiga/laffe Dadhiin babura dasiisan etoo foon Hacaalun hojetani"" and as oromo is currently not lead by his leaders and need its own leaders saying ""hin qabnu kukulichu nut oromoodha alagan nu bulchu!","English commentary describing a protest song. It cites (a) the pan-Oromo unity refrain — Shanee, ABO/OLF, KFO; let the unknowing learn, we are all Oromo; (b) a lyric voicing the atrocity-trope that the 'Prosperity' side ground Oromo bone into bread on the train and made sauce/wat from Hachalu's flesh; and (c) a leaderlessness lyric — 'we have no [leaders]; we are Oromo, shall the outsider rule us?'",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0013,Afan Oromo,2020-04,Dhimmi kun dhugaa ta'uu isaa qulqulleessuun barbaachisaa dha,It is important to verify whether this issue is true,Neutral,Neutral,Neutral,Neutral,,,,True
POST_0640,Afan Oromo,2020-04,Nafxanya waggaa dhibba oromoo gabroomse DR Abiyy nurratti deebisaa jira ufii badda malee Amma booda oromoo sobuu hin dandeettu oromoon qabsoo kanaaf nama meeqa akka gabbare guyyaa tokko yaadde beeyta?,"The Neftegna that enslaved the Oromo for a hundred years, Dr Abiy is bringing back upon us — he will only ruin himself. From now on you cannot deceive the Oromo. Have you ever, for a single day, thought about how many people the Oromo sacrificed for this struggle?",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0204,Afan Oromo,2020-04,garee amantii sana nagaa Shaashamannee ni mancaasu,that religious group destroy the peace of Shaashamannee,Hate speech,Hate speech,Hate speech,Hate,Religion,Religion,,True
POST_0012,Amharic,2020-04,በጥላቻ ንግግር ፋንታ ሰላምን እንመርጥ,Let us choose peace instead of hate speech,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0085,Amharic,2020-04,ኦርቶዶክስ በዓላትና የሙስሊም ጸሎቶች በአደባባይ ላይ ሲካሄዱ የጋራ ስምምነት ያስፈልጋል,"When Orthodox festivals and Muslim prayers are held in public squares, shared agreement is needed",Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0851,Afan Oromo,2020-04,"YAA ILMMAAN HARREE FI SAREE LAFTTII SHAWAA KAN OROMOO FI AMAARA SHAWAATI MALEE; KAN GAALLAA ARUUSII, BAALEE, AMBBOO, WOLLAGAA, JIMMAA FI BORANAA MIT KANAAFUU GAD TA'AA YOO DDIDDANIMMOO INJJIRAANNA GENNEETI MALEE EENYUMMAA KEENYA ISIN AGARSSIISNNA!","[Faithful.] O children of donkeys and dogs! The land of Shewa belongs to the Oromo and the Shewa Amhara only — not to the '[SLUR_OROMO]' of Arsi, Bale, Ambo, Wollega, Jimma and Borana! So back down; and if you refuse, we are here [we will resist] — otherwise we will show you who we are!",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0379,Amharic,2020-04,መንግስት የኮቪድ ቁጥሮችን በሃይማኖት ግጭት ለመፍጠር እያስተካከለ ነው,The government is manipulating COVID numbers to create religious conflict,Misinformation,Misinformation,Misinformation,,Health/Public policy,Health,Public policy,False
POST_0924,Amharic,2020-04,ግዙፉ አማራ መስሚያ የለውም ኢምንቶች አቻቹህን ፈልጉ በግፍ ነው አማራ ነኝ በል የተባለው አሁን የአማራ መሬት የጥላት መቀበሪያ ሆኗል,"[Faithful.] The giant Amhara has no one to hear him. You insignificant ones, go find your equals. It was by injustice that [he] was forced to say 'I am Amhara.' Now the Amhara's land has become the burial ground of enemies.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0438,Amharic,2020-04,የጤና ቢሮ በአዲስ አበባ ስለ ሰልፍ መንገድ እቅድ አሳወቀ,The የጤና ቢሮ announced a route plan for the rally in Addis Ababa,Neutral,Neutral,Neutral,Neutral,,,,True
POST_0411,Afan Oromo,2020-04,Finfinnee keessatti seerri haaraan amantii tokko qofaaf bakka uummataa eeyyama jedha,A new rule in Finfinnee allows only one religion to use public spaces,Ambiguous,Misinformation,Misinformation,,Politics/Public policy,Politics,Public policy,False
POST_0301,Amharic,2020-05,የሙስሊሞች ተከታዮች በጎንደር ላይ ፕሮግራም እንዲያደርጉ ፈቃድ ጠየቁ,Muslims requested permission to hold a program in Gondar,Neutral,Neutral,Neutral,Neutral,Religion/Public space,Religion,Public space,True
POST_0887,Amharic,2020-05,አይ አማራ እውነት መናገር የለም በቃ በውሽት ትርክት ይዘህ ወድ ሀላ መሄድ ነው ሰራው,"Oh Amhara — there's no telling the truth; just clinging to a false narrative and going backward, that's what [you've] done.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0389,Amharic,2020-05,በመቀሌ አዲስ ደንብ ወጥቶ አንድ ሀይማኖት ብቻ የህዝብ ቦታ እንዲጠቀም ተፈቅዷል,A new rule in Mekelle allows only one religion to use public spaces,Neutral,Misinformation,Misinformation,,Politics/Public policy,Politics,Public policy,False
POST_0900,Amharic,2020-05,አማራነት ያብብአማራ መሆን መታደል ነው,Amhara-ness will blossom; to be Amhara is a privilege.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0639,Afan Oromo,2020-05,"Ani karaa kiyya hin gaddu. Baga ta'en jedha. Sababiin isaas, kaleessa irraa barachuu dadhabneetu har'a illee tokkummaa lallabuun habashaa safuu hin beekne kanatti faara kan laachaa jiru mataa isaa Oromoo dha. Waanta ta'eef, nama hin gadisiisu. Finfinne qofaa otoo hin taane, ganaa , magaalota Oromiyaa biroo irratti illee rakkinni quunnamuu ni danda'a. Hagamsi, adaamii faana hamma jiraatutti umurii isaa guutuu booyaa jiraata.","I do not regret my path; I say it is good that it happened. The reason: because we failed to learn from yesterday, it is the Oromo himself who, by preaching 'unity' even today, gives cover to this Habesha who knows no decency (safuu). So it does not sadden anyone. Not only Finfinne — Ada'a and other Oromia towns too could face this trouble. As long as the hagamsa shrub lives beside the adaamii, it spends its whole life weeping.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0386,Amharic,2020-05,ኦርቶዶክስ የሚያደርጉት ሥነ ሥርዓት ኮቪድን ፈጽሞ ያስወግዳል,Orthodox Christians rituals completely eliminate COVID,Misinformation,Misinformation,Misinformation,,Religion/Health,Religion,Health,False
POST_0044,Afan Oromo,2020-05,Warri sun iddoo ayyaanaa keenya irratti dhuunfachuu barbaadu,Those people want to take over our celebration space,Ambiguous,Hate speech,Hate speech,Hate,Religion/Public space,Religion,Public space,True
POST_0364,Afan Oromo,2020-05,Sagantaaleen amantii hundi eeyyama walqixa argachuu qabu,All religious programs should receive equal permits,Neutral,Political speech,Political speech,Neutral,Religion/Public space,Religion,Public space,True
POST_0452,Amharic,2020-05,የJimma ካውንስል ለሃይማኖት ዝግጅቶች እኩል ፈቃድ መስጠት አለበት,The Jimma council should grant equal permits for religious events,Political speech,Political speech,Political speech,Neutral,Religion/Public space,Religion,Public space,True
POST_0786,Amharic,2020-05,የኦሮሞና ገዳ ትክክለኛ ተግባርና ማንነት እንዳይገለጥ ብሎም በሀሰት የሌለ አቃፊነት፣ደግነትና ዴሞክራሲያዊነት እንዲላበስ የ1960ዎች ምሁራን ትልቁን ሚና ተጫውተዋል!! እውነታው ግን እንደተገለጸው ነው!! አሁን የምናያቸው ከዓለም ታሪክ ለማሰብ የሚከብዱ ዘግናኝ የጭካኔ ተግባራት በገዳና በኦሮሞዎች ወራሾች እየተፈጸሙ ነው!! ሊዚህ ተግባራው ጸጸትና ሀዘን የአይሰማቸውም ምክንያቱም ባህላቸውና ልማዳቸው ስለሚፈቅድላቸው ነው!! የኢትዮጵያ ምሁራን በዩኒስኮ የተመዘገበውን ይህን ለሰው ልጆች የማይጠቅም ፣የጭካኔ፣የጨፍላቂና ኋላ ቀር ባህል እንዲሰርዘው መረባረብ አለብን!! ለእውነት መቆም አለብን፡፡ በውሸት የተገነባ ትርክት፣ባህልና ልማድ መጥፋት አለበት፡፡,"[Condensed, faithful.] Argues that 1960s intellectuals played the major role in falsely cloaking Gada and the Oromo with a 'non-existent' inclusiveness, kindness and democracy, hiding their 'true nature' — which, it claims, is shown by the 'horrific cruelty' now being carried out 'by Gada and the heirs of the Oromo,' who feel no remorse 'because their culture and custom permit it.' Calls on Ethiopian intellectuals to push for the UNESCO-registered Gada — branded a 'cruel, massacring, backward culture' useless to humanity — to be de-registered, and declares that 'the false-built narrative, culture and custom must be destroyed.'",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0056,Afan Oromo,2020-05,Gareen amantii kun dargaggoota irratti jibba facaasa jira,This religious group is spreading hate among youth,Hate speech,Hate speech,Hate speech,Hate,Religion,Religion,,True
POST_0508,Afan Oromo,2020-05,Oromoon Dhigaa koottii. Oromiyyaan biyyaa kootii. Dabbarsee keenuu haallgatii. Jaawaar Abbaa Qeerotii. Qeeroon Abbaa Biyyaatii. Dhaalotaa Qubee Ammatii. Faalmaachuun mirgaa koottii. Naafxaanyaa baalleessuu koottii. Tokkoo Tokkoof Taaneetii. Ittii mudduu qaabnaatii. Motummaa gaabronfataa. Artt killoo baasii. Fincilaa didaa gaabrummaa. Xumuruu qabnaatii. Bilisummaa dhugaa. Goonfachuu qaabnatii. Yomuu hin jijiramuu. Oromoon dhigaa koottii.,The Oromo is my blood; Oromia is my country — I will not hand it to a stranger. Jawar is father of the Qeerroo; the Qeerroo are the country's owners; the Qubee generation embraces it. To contest is my right; to destroy the Neftegna is my duty. We have become one for one another and have the means to press them. The colonizer-state — we'll cast it off; the rebellion against subjugation [FDG] we must finish; true freedom we must attain. It will never change. The Oromo is my blood.,Ambiguous,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0114,Amharic,2020-05,ነፈጠኛዎች ከሙስሊሞች ጋር ተባብረው ሀገርን እያበላሹ ነው,the Neftegna are teaming up with muslims to ruin the country,Ambiguous,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0281,Amharic,2020-06,የBahir Dar ካውንስል ስለ አደባባይ ፈቃድ ስብሰባ አደረገ,The Bahir Dar council held a meeting on public-square permits,Neutral,Neutral,Neutral,Neutral,Politics/Public policy,Politics,Public policy,True
POST_0529,Afan Oromo,2020-06,Haatootnii naafxaanyaa shiraa isaan yaaduu egalaan laalaa ummaattaa oromoo kaan yaada isaanii dhagahuu diidaanii irreechii keenyaa irree keeyaa ni irreefaanaa jeedhaanii garaa Fiinfiinneetii imalaa jiiraan deebiianii qamootaa meeshaa garaa garaa qabatee irreechaa jeequuf deemaa jiruu 503 toanaa seeraa jaalaa olee jeedhanii ibsaa komiishiini komishiini poolisii oromiyaa ibsaa amaa latee lalaa Toftaa isaan ummaattaa oromoo iraatii yaaduu egalaan,"The Neftegna [leaders] have begun plotting schemes — look, Oromo people. Those who refused to heed us, saying 'we will celebrate our Irreecha by our own strength,' are traveling toward Finfinne; people carrying assorted weapons are going to disrupt Irreecha. The Oromia Police Commission's statement just now says 503 [were processed/detained]. Look — these are the tactics they've begun plotting against the Oromo people.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0249,Amharic,2020-06,በጎንደር ሙስሊሞችንም ትግራውያንንም ማክበር አለብን,"In Gondar, we should respect both Muslims and Tigrayans",Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0360,Amharic,2020-06,በባህር ዳር ያሉ አደባባዮች ለሁሉም እምነቶች እኩል መከፈት አለባቸው,Public squares in Bahir Dar should be equally open to all faiths,Political speech,Political speech,Political speech,Neutral,Religion/Public space,Religion,Public space,True
POST_0943,Afan Oromo,2020-06,minilik bineensa,Menelik [is a] beast.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0810,Amharic,2020-06,የአምሐራ ሕዝብ ኢትዮጲያ ኢትዮጲያ እያለ በየዳር ድንበሩ በግንባር ቀደምትነት አጥንቱን ከስክሶ ደሙን አፍስሶ ባቆያት ሐገር አትኖርም ተብሎ እየተጨፈጨፈ እየተሳደደ እየተረገጠ እየደኸየ ይገኛል መፍትሔውም የአምሐራሕዝብ ጠንካራ አንድነት ወሳኝ ጊዜ የማይሰጥ ሆኗል,"[Faithful.] The Amhara people — who, crying 'Ethiopia, Ethiopia,' kept this country by leading from the front on every border, breaking their bones and shedding their blood — are now being told 'you shall not exist,' and are being massacred, hunted, trampled and impoverished. The solution, a strong unity of the Amhara people, has become a decisive matter that leaves no time to spare.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0228,Amharic,2020-06,‘[SLUR_OROMO]’ እና ‘[SLUR_AMHARA]’ ያሉ ቃላትን አትጠቀሙ,Do not use terms like ‘[SLUR_OROMO]’ and ‘[SLUR_AMHARA]’,Counter speech,Counter speech,Counter speech,Counter,,,,True
